INCI name,Hair penalty,Body penalty,Face penalty,Oral cavity penalty,Makeup penalty,Babies penalty,Classification,Functions,Origin
"1,2,4-TRIHYDROXYBENZENE",Strong,Strong,Strong,Strong,Strong,Strong,"['Regulated', 'Hair dye', 'Forbidden in Europe']",['Hair dyeing: Colors the hair'],[]
"1,2-DIMETHOXY-4-(2-PROPENYL)-BENZENE",Low,Low,Low,Low,Low,Low,['Regulated'],[],[]
"1,2-HEXANEDIOL",None,None,None,None,None,None,[],"['Skin conditioning: Maintains skin in good condition', 'Solvent: Dissolves other substances']",[]
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"1,4-BENZENEDICARBOXYLIC ACID,1,4-DIMETHYL ESTER,POLYMER:1",Medium,Medium,Medium,Medium,Medium,Medium,['Synthetic polymer'],[],['Synthetic']
"1,5-NAPHTHALENEDIOL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE",Medium,Medium,Medium,Medium,Medium,Medium,"['Sulphate', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
1-NAPHTHOL,Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,2'-METHYLENEBIS 4-AMINOPHENOL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,2'-METHYLENEBIS 4-AMINOPHENOL HCL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,4-DIAMINOPHENOXYETHANOL HCL",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,4-DIAMINOPHENOXYETHANOL SULFATE",Medium,Medium,Medium,Medium,Medium,Medium,"['Sulphate', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",Low,Low,Low,Low,Low,Low,"['Sulphate', 'Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,6-DIAMINOPYRIDINE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
"2,6-DIHYDROXYETHYLAMINOTOLUENE",Low,Low,Low,Low,Low,Low,"['Regulated', 'Hair dye']",['Hair dyeing: Colors the hair'],[]
